CBSA,City,County,State
10020,"Abbeville, LA",Vermilion Parish,Louisiana
10100,"Aberdeen, SD",Brown County,South Dakota
10100,"Aberdeen, SD",Edmunds County,South Dakota
10140,"Aberdeen, WA",Grays Harbor County,Washington
10180,"Abilene, TX",Callahan County,Texas
10180,"Abilene, TX",Jones County,Texas
10180,"Abilene, TX",Taylor County,Texas
10220,"Ada, OK",Pontotoc County,Oklahoma
10260,"Adjuntas, PR",Adjuntas Municipio,Puerto Rico
10300,"Adrian, MI",Lenawee County,Michigan
10380,"Aguadilla-Isabela-San Sebastián, PR",Aguada Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",Aguadilla Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",Añasco Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",Isabela Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",Lares Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",Moca Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",Rincón Municipio,Puerto Rico
10380,"Aguadilla-Isabela-San Sebastián, PR",San Sebastián Municipio,Puerto Rico
10420,"Akron, OH",Portage County,Ohio
10420,"Akron, OH",Summit County,Ohio
10460,"Alamogordo, NM",Otero County,New Mexico
10500,"Albany, GA",Baker County,Georgia
10500,"Albany, GA",Dougherty County,Georgia
10500,"Albany, GA",Lee County,Georgia
10500,"Albany, GA",Terrell County,Georgia
10500,"Albany, GA",Worth County,Georgia
10540,"Albany-Lebanon, OR",Linn County,Oregon
10580,"Albany-Schenectady-Troy, NY",Albany County,New York
10580,"Albany-Schenectady-Troy, NY",Rensselaer County,New York
10580,"Albany-Schenectady-Troy, NY",Saratoga County,New York
10580,"Albany-Schenectady-Troy, NY",Schenectady County,New York
10580,"Albany-Schenectady-Troy, NY",Schoharie County,New York
10620,"Albemarle, NC",Stanly County,North Carolina
10660,"Albert Lea, MN",Freeborn County,Minnesota
10700,"Albertville, AL",Marshall County,Alabama
10740,"Albuquerque, NM",Bernalillo County,New Mexico
10740,"Albuquerque, NM",Sandoval County,New Mexico
10740,"Albuquerque, NM",Torrance County,New Mexico
10740,"Albuquerque, NM",Valencia County,New Mexico
10760,"Alexander City, AL",Coosa County,Alabama
10760,"Alexander City, AL",Tallapoosa County,Alabama
10780,"Alexandria, LA",Grant Parish,Louisiana
10780,"Alexandria, LA",Rapides Parish,Louisiana
10820,"Alexandria, MN",Douglas County,Minnesota
10860,"Alice, TX",Jim Wells County,Texas
10880,"Allegan, MI",Allegan County,Michigan
10900,"Allentown-Bethlehem-Easton, PA-NJ",Warren County,New Jersey
10900,"Allentown-Bethlehem-Easton, PA-NJ",Carbon County,Pennsylvania
10900,"Allentown-Bethlehem-Easton, PA-NJ",Lehigh County,Pennsylvania
10900,"Allentown-Bethlehem-Easton, PA-NJ",Northampton County,Pennsylvania
10940,"Alma, MI",Gratiot County,Michigan
10980,"Alpena, MI",Alpena County,Michigan
11020,"Altoona, PA",Blair County,Pennsylvania
11060,"Altus, OK",Jackson County,Oklahoma
11100,"Amarillo, TX",Armstrong County,Texas
11100,"Amarillo, TX",Carson County,Texas
11100,"Amarillo, TX",Potter County,Texas
11100,"Amarillo, TX",Randall County,Texas
11140,"Americus, GA",Schley County,Georgia
11140,"Americus, GA",Sumter County,Georgia
11180,"Ames, IA",Story County,Iowa
11220,"Amsterdam, NY",Montgomery County,New York
11260,"Anchorage, AK",Anchorage Municipality,Alaska
11260,"Anchorage, AK",Matanuska-Susitna Borough,Alaska
11300,"Anderson, IN",Madison County,Indiana
11340,"Anderson, SC",Anderson County,South Carolina
11380,"Andrews, TX",Andrews County,Texas
11420,"Angola, IN",Steuben County,Indiana
11460,"Ann Arbor, MI",Washtenaw County,Michigan
11500,"Anniston-Oxford, AL",Calhoun County,Alabama
11540,"Appleton, WI",Calumet County,Wisconsin
11540,"Appleton, WI",Outagamie County,Wisconsin
11580,"Arcadia, FL",DeSoto County,Florida
11620,"Ardmore, OK",Carter County,Oklahoma
11620,"Ardmore, OK",Love County,Oklahoma
11660,"Arkadelphia, AR",Clark County,Arkansas
11700,"Asheville, NC",Buncombe County,North Carolina
11700,"Asheville, NC",Haywood County,North Carolina
11700,"Asheville, NC",Henderson County,North Carolina
11700,"Asheville, NC",Madison County,North Carolina
11740,"Ashland, OH",Ashland County,Ohio
11780,"Ashtabula, OH",Ashtabula County,Ohio
11820,"Astoria, OR",Clatsop County,Oregon
11860,"Atchison, KS",Atchison County,Kansas
11900,"Athens, OH",Athens County,Ohio
11940,"Athens, TN",McMinn County,Tennessee
11980,"Athens, TX",Henderson County,Texas
