,City,State,CBSA Code,CBSA Title
0,Aberdeen,South Dakota,10100,"Aberdeen, SD"
1,Aberdeen,Washington,10140,"Aberdeen, WA"
2,Abilene,Texas,10180,"Abilene, TX"
3,Ada,Oklahoma,10220,"Ada, OK"
4,Adjuntas,Puerto Rico,10260,"Adjuntas, PR"
5,Adrian,Michigan,10300,"Adrian, MI"
6,Aguadilla,Puerto Rico,10380,"Aguadilla-Isabela, PR"
7,Isabela,Puerto Rico,10380,"Aguadilla-Isabela, PR"
8,Akron,Ohio,10420,"Akron, OH"
9,Alamogordo,New Mexico,10460,"Alamogordo, NM"
10,Albany,Georgia,10500,"Albany, GA"
11,Albany,Oregon,10540,"Albany, OR"
12,Albany,New York,10580,"Albany-Schenectady-Troy, NY"
13,Schenectady,New York,10580,"Albany-Schenectady-Troy, NY"
14,Troy,New York,10580,"Albany-Schenectady-Troy, NY"
15,Albemarle,North Carolina,10620,"Albemarle, NC"
16,Albert Lea,Minnesota,10660,"Albert Lea, MN"
17,Albertville,Alabama,10700,"Albertville, AL"
18,Albuquerque,New Mexico,10740,"Albuquerque, NM"
19,Alexander City,Alabama,10760,"Alexander City, AL"
20,Alexandria,Louisiana,10780,"Alexandria, LA"
21,Alexandria,Minnesota,10820,"Alexandria, MN"
22,Alice,Texas,10860,"Alice, TX"
23,Allentown,Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ"
24,Bethlehem,Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ"
25,Alma,Michigan,10940,"Alma, MI"
26,Alpena,Michigan,10980,"Alpena, MI"
27,Altoona,Pennsylvania,11020,"Altoona, PA"
28,Altus,Oklahoma,11060,"Altus, OK"
29,Amarillo,Texas,11100,"Amarillo, TX"
30,Americus,Georgia,11140,"Americus, GA"
31,Ames,Iowa,11180,"Ames, IA"
32,Amsterdam,New York,11220,"Amsterdam, NY"
33,Anchorage,Alaska,11260,"Anchorage, AK"
34,Andrews,Texas,11380,"Andrews, TX"
35,Angola,Indiana,11420,"Angola, IN"
36,Ann Arbor,Michigan,11460,"Ann Arbor, MI"
37,Anniston,Alabama,11500,"Anniston-Oxford-Jacksonville, AL"
38,Jacksonville,Alabama,11500,"Anniston-Oxford-Jacksonville, AL"
39,Oxford,Alabama,11500,"Anniston-Oxford-Jacksonville, AL"
40,Appleton,Wisconsin,11540,"Appleton, WI"
41,Arcadia,Florida,11580,"Arcadia, FL"
42,Ardmore,Oklahoma,11620,"Ardmore, OK"
43,Arecibo,Puerto Rico,11640,"Arecibo, PR"
44,Arkadelphia,Arkansas,11660,"Arkadelphia, AR"
45,Arkansas City,Kansas,11680,"Arkansas City-Winfield, KS"
46,Winfield,Kansas,11680,"Arkansas City-Winfield, KS"
47,Asheville,North Carolina,11700,"Asheville, NC"
48,Ashland,Ohio,11740,"Ashland, OH"
49,Ashtabula,Ohio,11780,"Ashtabula, OH"
50,Astoria,Oregon,11820,"Astoria, OR"
51,Atchison,Kansas,11860,"Atchison, KS"
52,Athens,Ohio,11900,"Athens, OH"
53,Athens,Tennessee,11940,"Athens, TN"
54,Athens,Texas,11980,"Athens, TX"
55,Athens-Clarke County unified government (balance),Georgia,12020,"Athens-Clarke County, GA"
56,Alpharetta,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
57,Atlanta,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
58,Marietta,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
59,Roswell,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
60,Sandy Springs,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
61,Atlantic City,New Jersey,12100,"Atlantic City-Hammonton, NJ"
62,Hammonton,New Jersey,12100,"Atlantic City-Hammonton, NJ"
63,Atmore,Alabama,12120,"Atmore, AL"
64,Auburn,Indiana,12140,"Auburn, IN"
65,Auburn,New York,12180,"Auburn, NY"
66,Auburn,Alabama,12220,"Auburn-Opelika, AL"
67,Opelika,Alabama,12220,"Auburn-Opelika, AL"
68,Augusta-Richmond County consolidated government (balance),Georgia,12260,"Augusta-Richmond County, GA-SC"
69,Augusta,Maine,12300,"Augusta-Waterville, ME"
70,Waterville,Maine,12300,"Augusta-Waterville, ME"
71,Austin,Minnesota,12380,"Austin, MN"
72,Austin,Texas,12420,"Austin-Round Rock, TX"
73,Round Rock,Texas,12420,"Austin-Round Rock, TX"
74,Bainbridge,Georgia,12460,"Bainbridge, GA"
75,Bakersfield,California,12540,"Bakersfield, CA"
76,Baltimore,Maryland,12580,"Baltimore-Columbia-Towson, MD"
77,Columbia,Maryland,12580,"Baltimore-Columbia-Towson, MD"
78,Towson,Maryland,12580,"Baltimore-Columbia-Towson, MD"
79,Bangor,Maine,12620,"Bangor, ME"
80,Baraboo,Wisconsin,12660,"Baraboo, WI"
81,Bardstown,Kentucky,12680,"Bardstown, KY"
82,Barnstable Town,Massachusetts,12700,"Barnstable Town, MA"
83,Barre,Vermont,12740,"Barre, VT"
84,Bartlesville,Oklahoma,12780,"Bartlesville, OK"
85,Bastrop,Louisiana,12820,"Bastrop, LA"
86,Batavia,New York,12860,"Batavia, NY"
87,Batesville,Arkansas,12900,"Batesville, AR"
88,Baton Rouge,Louisiana,12940,"Baton Rouge, LA"
89,Battle Creek,Michigan,12980,"Battle Creek, MI"
90,Bay City,Michigan,13020,"Bay City, MI"
91,Bay City,Texas,13060,"Bay City, TX"
92,Beatrice,Nebraska,13100,"Beatrice, NE"
93,Beaumont,Texas,13140,"Beaumont-Port Arthur, TX"
94,Port Arthur,Texas,13140,"Beaumont-Port Arthur, TX"
95,Beaver Dam,Wisconsin,13180,"Beaver Dam, WI"
96,Beckley,West Virginia,13220,"Beckley, WV"
97,Bedford,Indiana,13260,"Bedford, IN"
98,Beeville,Texas,13300,"Beeville, TX"
99,Bellefontaine,Ohio,13340,"Bellefontaine, OH"
100,Bellingham,Washington,13380,"Bellingham, WA"
101,Bemidji,Minnesota,13420,"Bemidji, MN"
102,Bend,Oregon,13460,"Bend-Redmond, OR"
103,Redmond,Oregon,13460,"Bend-Redmond, OR"
104,Bennettsville,South Carolina,13500,"Bennettsville, SC"
105,Bennington,Vermont,13540,"Bennington, VT"
106,Berlin,New Hampshire,13620,"Berlin, NH-VT"
107,Big Rapids,Michigan,13660,"Big Rapids, MI"
108,Big Spring,Texas,13700,"Big Spring, TX"
109,Big Stone Gap,Virginia,13720,"Big Stone Gap, VA"
110,Billings,Montana,13740,"Billings, MT"
111,Binghamton,New York,13780,"Binghamton, NY"
112,Birmingham,Alabama,13820,"Birmingham-Hoover, AL"
113,Hoover,Alabama,13820,"Birmingham-Hoover, AL"
114,Bismarck,North Dakota,13900,"Bismarck, ND"
115,Blackfoot,Idaho,13940,"Blackfoot, ID"
116,Blacksburg,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA"
117,Christiansburg,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA"
118,Radford,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA"
119,Bloomington,Illinois,14010,"Bloomington, IL"
120,Bloomington,Indiana,14020,"Bloomington, IN"
121,Berwick,Pennsylvania,14100,"Bloomsburg-Berwick, PA"
122,Bloomsburg,Pennsylvania,14100,"Bloomsburg-Berwick, PA"
123,Bluefield,Virginia,14140,"Bluefield, WV-VA"
124,Blytheville,Arkansas,14180,"Blytheville, AR"
125,Bogalusa,Louisiana,14220,"Bogalusa, LA"
126,Boise City,Idaho,14260,"Boise City, ID"
127,Bonham,Texas,14300,"Bonham, TX"
128,Boone,Iowa,14340,"Boone, IA"
129,Boone,North Carolina,14380,"Boone, NC"
130,Borger,Texas,14420,"Borger, TX"
131,Boston,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH"
132,Cambridge,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH"
133,Framingham,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH"
134,Newton,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH"
135,Waltham,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH"
136,Boulder,Colorado,14500,"Boulder, CO"
137,Bowling Green,Kentucky,14540,"Bowling Green, KY"
138,Bozeman,Montana,14580,"Bozeman, MT"
139,Bradford,Pennsylvania,14620,"Bradford, PA"
140,Brainerd,Minnesota,14660,"Brainerd, MN"
141,Branson,Missouri,14700,"Branson, MO"
142,Breckenridge,Colorado,14720,"Breckenridge, CO"
143,Bremerton,Washington,14740,"Bremerton-Silverdale, WA"
144,Silverdale,Washington,14740,"Bremerton-Silverdale, WA"
145,Brenham,Texas,14780,"Brenham, TX"
146,Brevard,North Carolina,14820,"Brevard, NC"
147,Bridgeport,Connecticut,14860,"Bridgeport-Stamford-Norwalk, CT"
148,Danbury,Connecticut,14860,"Bridgeport-Stamford-Norwalk, CT"
149,Norwalk,Connecticut,14860,"Bridgeport-Stamford-Norwalk, CT"
150,Stamford,Connecticut,14860,"Bridgeport-Stamford-Norwalk, CT"
151,Stratford,Connecticut,14860,"Bridgeport-Stamford-Norwalk, CT"
152,Brookhaven,Mississippi,15020,"Brookhaven, MS"
153,Brookings,Oregon,15060,"Brookings, OR"
154,Brookings,South Dakota,15100,"Brookings, SD"
155,Brownsville,Tennessee,15140,"Brownsville, TN"
156,Brownsville,Texas,15180,"Brownsville-Harlingen, TX"
157,Harlingen,Texas,15180,"Brownsville-Harlingen, TX"
158,Brownwood,Texas,15220,"Brownwood, TX"
159,Brunswick,Georgia,15260,"Brunswick, GA"
160,Bucyrus,Ohio,15340,"Bucyrus, OH"
161,Buffalo,New York,15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
162,Cheektowaga,New York,15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
163,Niagara Falls,New York,15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
164,Burley,Idaho,15420,"Burley, ID"
165,Burlington,Iowa,15460,"Burlington, IA-IL"
166,Burlington,North Carolina,15500,"Burlington, NC"
167,Burlington,Vermont,15540,"Burlington-South Burlington, VT"
168,South Burlington,Vermont,15540,"Burlington-South Burlington, VT"
169,Butte-Silver Bow (balance),Montana,15580,"Butte-Silver Bow, MT"
170,Cadillac,Michigan,15620,"Cadillac, MI"
171,Calhoun,Georgia,15660,"Calhoun, GA"
172,California,Maryland,15680,"California-Lexington Park, MD"
173,Lexington Park,Maryland,15680,"California-Lexington Park, MD"
174,Cambridge,Maryland,15700,"Cambridge, MD"
175,Cambridge,Ohio,15740,"Cambridge, OH"
176,Camden,Arkansas,15780,"Camden, AR"
177,Campbellsville,Kentucky,15820,"Campbellsville, KY"
178,Cañon City,Colorado,15860,"Cañon City, CO"
179,Canton,Illinois,15900,"Canton, IL"
180,Canton,Ohio,15940,"Canton-Massillon, OH"
181,Massillon,Ohio,15940,"Canton-Massillon, OH"
