,County,State,CBSA Code,CBSA Title
0,Acadia Parish,Louisiana,29180,"Lafayette, LA"
1,Ada County,Idaho,14260,"Boise City, ID"
2,Adams County,Colorado,19740,"Denver-Aurora-Lakewood, CO"
3,Adams County,Pennsylvania,23900,"Gettysburg, PA"
4,Aguada Municipio,Puerto Rico,10380,"Aguadilla-Isabela, PR"
5,Aguadilla Municipio,Puerto Rico,10380,"Aguadilla-Isabela, PR"
6,Aguas Buenas Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
7,Aibonito Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
8,Aiken County,South Carolina,12260,"Augusta-Richmond County, GA-SC"
9,Alachua County,Florida,23540,"Gainesville, FL"
10,Alamance County,North Carolina,15500,"Burlington, NC"
11,Alameda County,California,41860,"San Francisco-Oakland-Hayward, CA"
12,Albany County,New York,10580,"Albany-Schenectady-Troy, NY"
13,Albemarle County,Virginia,16820,"Charlottesville, VA"
14,Alexander County,Illinois,16020,"Cape Girardeau, MO-IL"
15,Alexander County,North Carolina,25860,"Hickory-Lenoir-Morganton, NC"
16,Alexandria city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
17,Allegany County,Maryland,19060,"Cumberland, MD-WV"
18,Allegheny County,Pennsylvania,38300,"Pittsburgh, PA"
19,Allen County,Indiana,23060,"Fort Wayne, IN"
20,Allen County,Kentucky,14540,"Bowling Green, KY"
21,Allen County,Ohio,30620,"Lima, OH"
22,Amelia County,Virginia,40060,"Richmond, VA"
23,Amherst County,Virginia,31340,"Lynchburg, VA"
24,Añasco Municipio,Puerto Rico,10380,"Aguadilla-Isabela, PR"
25,Anchorage Municipality,Alaska,11260,"Anchorage, AK"
26,Anderson County,Tennessee,28940,"Knoxville, TN"
27,Anderson County,South Carolina,24860,"Greenville-Anderson-Mauldin, SC"
28,Andrew County,Missouri,41140,"St. Joseph, MO-KS"
29,Androscoggin County,Maine,30340,"Lewiston-Auburn, ME"
30,Anne Arundel County,Maryland,12580,"Baltimore-Columbia-Towson, MD"
31,Anoka County,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
32,Appomattox County,Virginia,31340,"Lynchburg, VA"
33,Aransas County,Texas,18580,"Corpus Christi, TX"
34,Arapahoe County,Colorado,19740,"Denver-Aurora-Lakewood, CO"
35,Archer County,Texas,48660,"Wichita Falls, TX"
36,Arecibo Municipio,Puerto Rico,11640,"Arecibo, PR"
37,Arlington County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
38,Armstrong County,Pennsylvania,38300,"Pittsburgh, PA"
39,Armstrong County,Texas,11100,"Amarillo, TX"
40,Arroyo Municipio,Puerto Rico,25020,"Guayama, PR"
41,Ascension Parish,Louisiana,12940,"Baton Rouge, LA"
42,Asotin County,Washington,30300,"Lewiston, ID-WA"
43,Atascosa County,Texas,41700,"San Antonio-New Braunfels, TX"
44,Atlantic County,New Jersey,12100,"Atlantic City-Hammonton, NJ"
45,Augusta County,Virginia,44420,"Staunton-Waynesboro, VA"
46,Austin County,Texas,26420,"Houston-The Woodlands-Sugar Land, TX"
47,Autauga County,Alabama,33860,"Montgomery, AL"
48,Baker County,Florida,27260,"Jacksonville, FL"
49,Baker County,Georgia,10500,"Albany, GA"
50,Baldwin County,Alabama,19300,"Daphne-Fairhope-Foley, AL"
51,Baltimore city,Maryland,12580,"Baltimore-Columbia-Towson, MD"
52,Baltimore County,Maryland,12580,"Baltimore-Columbia-Towson, MD"
53,Bandera County,Texas,41700,"San Antonio-New Braunfels, TX"
54,Bannock County,Idaho,38540,"Pocatello, ID"
55,Barceloneta Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
56,Barnstable County,Massachusetts,12700,"Barnstable Town, MA"
57,Barranquitas Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
58,Barrow County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
59,Barry County,Michigan,24340,"Grand Rapids-Wyoming, MI"
60,Bartholomew County,Indiana,18020,"Columbus, IN"
61,Bartow County,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA"
62,Bastrop County,Texas,12420,"Austin-Round Rock, TX"
63,Bates County,Missouri,28140,"Kansas City, MO-KS"
64,Bay County,Florida,37460,"Panama City, FL"
65,Bay County,Michigan,13020,"Bay City, MI"
66,Bayamón Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR"
67,Beaufort County,South Carolina,25940,"Hilton Head Island-Bluffton-Beaufort, SC"
68,Beaver County,Pennsylvania,38300,"Pittsburgh, PA"
69,Bedford County,Virginia,31340,"Lynchburg, VA"
