City,State,CBSA Code,CBSA Title,Latitude,Longitude
Aberdeen,South Dakota,10100,"Aberdeen, SD",45.4646985,-98.4864829
Aberdeen,Washington,10140,"Aberdeen, WA",46.9753708,-123.8157218
Abilene,Texas,10180,"Abilene, TX",32.4487364,-99.7331439
Ada,Oklahoma,10220,"Ada, OK",34.774531,-96.6783449
Adjuntas,Puerto Rico,10260,"Adjuntas, PR",18.1634848,-66.723158
Adrian,Michigan,10300,"Adrian, MI",41.8975471,-84.0371659
Aguadilla,Puerto Rico,10380,"Aguadilla-Isabela, PR",18.4274454,-67.1540698
Isabela,Puerto Rico,10380,"Aguadilla-Isabela, PR",18.4703856,-67.0242062
Akron,Ohio,10420,"Akron, OH",41.0814447,-81.5190053
Alamogordo,New Mexico,10460,"Alamogordo, NM",32.8995325,-105.960265
Albany,Georgia,10500,"Albany, GA",31.5785074,-84.155741
Albany,Oregon,10540,"Albany, OR",44.6365107,-123.1059282
Albany,New York,10580,"Albany-Schenectady-Troy, NY",42.6525793,-73.7562317
Schenectady,New York,10580,"Albany-Schenectady-Troy, NY",42.8142432,-73.9395687
Troy,New York,10580,"Albany-Schenectady-Troy, NY",42.7284117,-73.6917851
Albemarle,North Carolina,10620,"Albemarle, NC",35.3501426,-80.2000578
Albert Lea,Minnesota,10660,"Albert Lea, MN",43.6478006,-93.3686555
Albertville,Alabama,10700,"Albertville, AL",34.2675937,-86.2088669
Albuquerque,New Mexico,10740,"Albuquerque, NM",35.0843859,-106.650422
Alexander City,Alabama,10760,"Alexander City, AL",32.944012,-85.9538532
Alexandria,Louisiana,10780,"Alexandria, LA",31.3112936,-92.4451371
Alexandria,Minnesota,10820,"Alexandria, MN",45.8848164,-95.3776663
Alice,Texas,10860,"Alice, TX",27.7522487,-98.0697249
Allentown,Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ",40.6022939,-75.4714098
Bethlehem,Pennsylvania,10900,"Allentown-Bethlehem-Easton, PA-NJ",40.6259316,-75.3704579
Alma,Michigan,10940,"Alma, MI",43.3789199,-84.6597274
Alpena,Michigan,10980,"Alpena, MI",45.0616794,-83.4327528
Altoona,Pennsylvania,11020,"Altoona, PA",40.5186809,-78.3947359
Altus,Oklahoma,11060,"Altus, OK",34.637765,-99.3340442
Amarillo,Texas,11100,"Amarillo, TX",35.2219971,-101.8312969
Americus,Georgia,11140,"Americus, GA",32.0723861,-84.2326876
Ames,Iowa,11180,"Ames, IA",42.0307812,-93.6319131
Amsterdam,New York,11220,"Amsterdam, NY",42.9377453,-74.190356
Anchorage,Alaska,11260,"Anchorage, AK",61.2180556,-149.9002778
Andrews,Texas,11380,"Andrews, TX",32.3187158,-102.5457155
Angola,Indiana,11420,"Angola, IN",41.6347726,-84.9994088
Ann Arbor,Michigan,11460,"Ann Arbor, MI",42.2808256,-83.7430378
Anniston,Alabama,11500,"Anniston-Oxford-Jacksonville, AL",33.6598257,-85.8316318
Jacksonville,Alabama,11500,"Anniston-Oxford-Jacksonville, AL",33.8137125,-85.7613536
Oxford,Alabama,11500,"Anniston-Oxford-Jacksonville, AL",33.6142714,-85.8349648
Appleton,Wisconsin,11540,"Appleton, WI",44.2619309,-88.4153847
Arcadia,Florida,11580,"Arcadia, FL",27.2158826,-81.8584164
Ardmore,Oklahoma,11620,"Ardmore, OK",34.1742611,-97.1436254
Arecibo,Puerto Rico,11640,"Arecibo, PR",18.444247,-66.6464068
Arkadelphia,Arkansas,11660,"Arkadelphia, AR",34.1209292,-93.0537839
Arkansas City,Kansas,11680,"Arkansas City-Winfield, KS",37.0619736,-97.0383712
Winfield,Kansas,11680,"Arkansas City-Winfield, KS",37.2397486,-96.9955918
Asheville,North Carolina,11700,"Asheville, NC",35.5950581,-82.5514869
Ashland,Ohio,11740,"Ashland, OH",40.8686675,-82.3182178
Ashtabula,Ohio,11780,"Ashtabula, OH",41.8650534,-80.7898089
Astoria,Oregon,11820,"Astoria, OR",46.1878841,-123.8312534
Atchison,Kansas,11860,"Atchison, KS",39.5630521,-95.1216356
Athens,Ohio,11900,"Athens, OH",39.3292396,-82.1012554
Athens,Tennessee,11940,"Athens, TN",35.4428512,-84.5929898
Athens,Texas,11980,"Athens, TX",32.2048735,-95.8555207
Athens-Clarke County unified government (balance),Georgia,12020,"Athens-Clarke County, GA",33.9596701,-83.376393
Alpharetta,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",34.0753762,-84.2940899
Atlanta,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",33.7489954,-84.3879824
Marietta,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",33.952602,-84.5499327
Roswell,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",34.0232431,-84.3615555
Sandy Springs,Georgia,12060,"Atlanta-Sandy Springs-Roswell, GA",33.9304352,-84.3733147
Atlantic City,New Jersey,12100,"Atlantic City-Hammonton, NJ",39.3642834,-74.4229266
Hammonton,New Jersey,12100,"Atlantic City-Hammonton, NJ",39.6365056,-74.8023853
Atmore,Alabama,12120,"Atmore, AL",31.0237921,-87.4938708
Auburn,Indiana,12140,"Auburn, IN",41.3669942,-85.0588575
Auburn,New York,12180,"Auburn, NY",42.9317335,-76.5660529
Auburn,Alabama,12220,"Auburn-Opelika, AL",32.6098566,-85.4807825
Opelika,Alabama,12220,"Auburn-Opelika, AL",32.6454116,-85.3782795
Augusta-Richmond County consolidated government (balance),Georgia,12260,"Augusta-Richmond County, GA-SC",33.4712263,-81.9617403
Augusta,Maine,12300,"Augusta-Waterville, ME",44.3106241,-69.7794897
Waterville,Maine,12300,"Augusta-Waterville, ME",44.5520105,-69.6317121
Austin,Minnesota,12380,"Austin, MN",43.6666296,-92.9746367
Austin,Texas,12420,"Austin-Round Rock, TX",30.267153,-97.7430608
Round Rock,Texas,12420,"Austin-Round Rock, TX",30.5082551,-97.678896
Bainbridge,Georgia,12460,"Bainbridge, GA",30.9037995,-84.5754699
Bakersfield,California,12540,"Bakersfield, CA",35.3732921,-119.0187125
Baltimore,Maryland,12580,"Baltimore-Columbia-Towson, MD",39.2903848,-76.6121893
Columbia,Maryland,12580,"Baltimore-Columbia-Towson, MD",39.2037144,-76.8610462
Towson,Maryland,12580,"Baltimore-Columbia-Towson, MD",39.4014955,-76.6019125
Bangor,Maine,12620,"Bangor, ME",44.8016128,-68.7712257
Baraboo,Wisconsin,12660,"Baraboo, WI",43.4710944,-89.7442906
Bardstown,Kentucky,12680,"Bardstown, KY",37.8092279,-85.4669025
Barnstable Town,Massachusetts,12700,"Barnstable Town, MA",41.7003208,-70.3002024
Barre,Vermont,12740,"Barre, VT",44.1970055,-72.5020494
Bartlesville,Oklahoma,12780,"Bartlesville, OK",36.7473114,-95.9808179
Bastrop,Louisiana,12820,"Bastrop, LA",32.7562463,-91.8723497
Batavia,New York,12860,"Batavia, NY",42.9981156,-78.1875167
Batesville,Arkansas,12900,"Batesville, AR",35.769799,-91.6409721
Baton Rouge,Louisiana,12940,"Baton Rouge, LA",30.4514677,-91.1871466
Battle Creek,Michigan,12980,"Battle Creek, MI",42.3211522,-85.1797142
Bay City,Michigan,13020,"Bay City, MI",43.5944677,-83.8888647
Bay City,Texas,13060,"Bay City, TX",28.9827565,-95.969402
Beatrice,Nebraska,13100,"Beatrice, NE",40.2659269,-96.7466913
Beaumont,Texas,13140,"Beaumont-Port Arthur, TX",30.080174,-94.1265562
Port Arthur,Texas,13140,"Beaumont-Port Arthur, TX",29.8849504,-93.939947
Beaver Dam,Wisconsin,13180,"Beaver Dam, WI",43.4577692,-88.837329
Beckley,West Virginia,13220,"Beckley, WV",37.7781702,-81.1881557
Bedford,Indiana,13260,"Bedford, IN",38.8611619,-86.4872149
Beeville,Texas,13300,"Beeville, TX",28.4008319,-97.7483312
Bellefontaine,Ohio,13340,"Bellefontaine, OH",40.3611643,-83.7596557
Bellingham,Washington,13380,"Bellingham, WA",48.7519112,-122.4786854
Bemidji,Minnesota,13420,"Bemidji, MN",47.471573,-94.8826861
Bend,Oregon,13460,"Bend-Redmond, OR",44.0581728,-121.3153096
Redmond,Oregon,13460,"Bend-Redmond, OR",44.2726203,-121.1739212
Bennettsville,South Carolina,13500,"Bennettsville, SC",34.6173803,-79.6847814
Bennington,Vermont,13540,"Bennington, VT",42.8781345,-73.1967741
Berlin,New Hampshire,13620,"Berlin, NH-VT",44.4686696,-71.1850768
Big Rapids,Michigan,13660,"Big Rapids, MI",43.6980782,-85.4836557
Big Spring,Texas,13700,"Big Spring, TX",32.2503979,-101.4787355
Big Stone Gap,Virginia,13720,"Big Stone Gap, VA",36.8586404,-82.7832489
Billings,Montana,13740,"Billings, MT",45.7832856,-108.5006904
Binghamton,New York,13780,"Binghamton, NY",42.0986867,-75.9179738
Birmingham,Alabama,13820,"Birmingham-Hoover, AL",33.5185892,-86.8103567
Hoover,Alabama,13820,"Birmingham-Hoover, AL",33.4053867,-86.8113781
Bismarck,North Dakota,13900,"Bismarck, ND",46.8083268,-100.7837392
Blackfoot,Idaho,13940,"Blackfoot, ID",43.1904709,-112.3449773
Blacksburg,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA",37.2295733,-80.4139393
Christiansburg,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA",37.1298517,-80.4089389
Radford,Virginia,13980,"Blacksburg-Christiansburg-Radford, VA",37.1317924,-80.5764477
Bloomington,Illinois,14010,"Bloomington, IL",40.4842027,-88.9936873
Bloomington,Indiana,14020,"Bloomington, IN",39.165325,-86.5263857
Berwick,Pennsylvania,14100,"Bloomsburg-Berwick, PA",41.0545292,-76.2332676
Bloomsburg,Pennsylvania,14100,"Bloomsburg-Berwick, PA",41.003698,-76.4549457
Bluefield,Virginia,14140,"Bluefield, WV-VA",37.252617,-81.2712105
Blytheville,Arkansas,14180,"Blytheville, AR",35.9272953,-89.9189753
Bogalusa,Louisiana,14220,"Bogalusa, LA",30.7910204,-89.8486858
Boise City,Idaho,14260,"Boise City, ID",43.6150186,-116.2023137
Bonham,Texas,14300,"Bonham, TX",33.5773275,-96.1783111
Boone,Iowa,14340,"Boone, IA",42.0597047,-93.8802273
Boone,North Carolina,14380,"Boone, NC",36.216795,-81.6745517
Borger,Texas,14420,"Borger, TX",35.6678203,-101.3973876
Boston,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH",42.3600825,-71.0588801
Cambridge,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH",42.3736158,-71.1097335
Framingham,Massachusetts,14460,"Boston-Cambridge-Newton, MA-NH",42.279286,-71.4161565
