County,State,CBSA Code,CBSA Title,Latitude,Longitude
Acadia Parish,Louisiana,29180,"Lafayette, LA",30.2297347,-92.38136209999999
Ada County,Idaho,14260,"Boise City, ID",43.478767,-116.2420304
Adams County,Colorado,19740,"Denver-Aurora-Lakewood, CO",39.8398269,-104.1930918
Adams County,Pennsylvania,23900,"Gettysburg, PA",39.8522417,-77.2864879
Aguada Municipio,Puerto Rico,10380,"Aguadilla-Isabela, PR",18.3793913,-67.1882365
Aguadilla Municipio,Puerto Rico,10380,"Aguadilla-Isabela, PR",18.4274454,-67.1540698
Aguas Buenas Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR",18.2568989,-66.1029442
Aibonito Municipio,Puerto Rico,41980,"San Juan-Carolina-Caguas, PR",18.1399594,-66.2660016
Aiken County,South Carolina,12260,"Augusta-Richmond County, GA-SC",33.6005783,-81.6035062
Alachua County,Florida,23540,"Gainesville, FL",29.6579549,-82.3017728
Alamance County,North Carolina,15500,"Burlington, NC",36.0117388,-79.4253776
Alameda County,California,41860,"San Francisco-Oakland-Hayward, CA",37.6016892,-121.7195459
Albany County,New York,10580,"Albany-Schenectady-Troy, NY",42.57567969999999,-73.93598209999999
Albemarle County,Virginia,16820,"Charlottesville, VA",38.0567092,-78.6114999
Alexander County,Illinois,16020,"Cape Girardeau, MO-IL",37.1670164,-89.3606298
Alexander County,North Carolina,25860,"Hickory-Lenoir-Morganton, NC",35.8974199,-81.20781640000001
Alexandria city,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.8048355,-77.0469214
Allegany County,Maryland,19060,"Cumberland, MD-WV",39.6255251,-78.6114999
Allegheny County,Pennsylvania,38300,"Pittsburgh, PA",40.4450813,-80.0087746
Allen County,Indiana,23060,"Fort Wayne, IN",41.0932622,-85.02334599999999
Allen County,Kentucky,14540,"Bowling Green, KY",36.7650471,-86.21584969999999
Allen County,Ohio,30620,"Lima, OH",40.769946,-84.14351359999999
Amelia County,Virginia,40060,"Richmond, VA",37.3212714,-77.973865
Amherst County,Virginia,31340,"Lynchburg, VA",37.5588285,-79.1096901
Añasco Municipio,Puerto Rico,10380,"Aguadilla-Isabela, PR",18.2854476,-67.1402935
Anchorage Municipality,Alaska,11260,"Anchorage, AK",61.2180556,-149.9002778
Anderson County,Tennessee,28940,"Knoxville, TN",36.0809574,-84.2278796
Anderson County,South Carolina,24860,"Greenville-Anderson-Mauldin, SC",34.5528328,-82.6483442
Andrew County,Missouri,41140,"St. Joseph, MO-KS",39.9637436,-94.81059549999999
Androscoggin County,Maine,30340,"Lewiston-Auburn, ME",44.19124160000001,-70.17070369999999
Anne Arundel County,Maryland,12580,"Baltimore-Columbia-Towson, MD",38.9530109,-76.5488232
Anoka County,Minnesota,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",45.3292832,-93.2197005
Appomattox County,Virginia,31340,"Lynchburg, VA",37.402489,-78.792953
Aransas County,Texas,18580,"Corpus Christi, TX",28.0761262,-96.9638624
Arapahoe County,Colorado,19740,"Denver-Aurora-Lakewood, CO",39.62031,-104.332644
Archer County,Texas,48660,"Wichita Falls, TX",33.5761511,-98.7481167
Arecibo Municipio,Puerto Rico,11640,"Arecibo, PR",18.4596051,-66.74417249999999
Arlington County,Virginia,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",38.8816208,-77.09098089999999
Armstrong County,Pennsylvania,38300,"Pittsburgh, PA",40.8790518,-79.4703885
Armstrong County,Texas,11100,"Amarillo, TX",34.937162,-101.4339148
Arroyo Municipio,Puerto Rico,25020,"Guayama, PR",17.9925084,-66.05458229999999
Ascension Parish,Louisiana,12940,"Baton Rouge, LA",30.2017295,-90.9438468
Asotin County,Washington,30300,"Lewiston, ID-WA",46.1460123,-117.2085208
Atascosa County,Texas,41700,"San Antonio-New Braunfels, TX",28.8661281,-98.5721016
