,code,n_killed,n_injured,n_guns_involved,n_incidents
0,10100,3.0,7.0,58.0,26
1,10140,1.0,1.0,5.0,5
2,10180,16.0,25.0,157.0,98
3,10220,11.0,15.0,34.0,30
4,10300,6.0,7.0,24.0,20
5,10420,89.0,169.0,719.0,349
6,10460,2.0,3.0,7.0,7
7,10500,30.0,56.0,121.0,113
8,10540,9.0,14.0,136.0,86
9,10580,26.0,83.0,362.0,255
10,10620,43.0,88.0,281.0,196
11,10660,2.0,1.0,60.0,40
12,10700,4.0,22.0,42.0,30
13,10740,157.0,135.0,596.0,440
14,10760,13.0,12.0,30.0,28
15,10780,28.0,33.0,96.0,94
16,10820,2.0,5.0,10.0,9
17,10860,2.0,0.0,25.0,10
18,10900,60.0,108.0,412.0,298
19,10940,1.0,1.0,4.0,4
20,10980,3.0,2.0,7.0,7
21,11020,2.0,4.0,33.0,31
22,11060,4.0,10.0,28.0,25
23,11100,17.0,47.0,194.0,155
24,11140,15.0,17.0,32.0,25
25,11180,3.0,9.0,14.0,14
26,11220,2.0,0.0,52.0,14
27,11260,106.0,134.0,645.0,508
28,11380,2.0,2.0,4.0,3
29,11420,3.0,3.0,15.0,12
30,11460,24.0,57.0,179.0,165
31,11500,40.0,26.0,111.0,65
32,11540,7.0,6.0,35.0,30
33,11580,3.0,0.0,4.0,4
34,11620,5.0,22.0,71.0,50
35,11660,0.0,0.0,1.0,1
36,11680,3.0,3.0,7.0,7
37,11700,27.0,56.0,159.0,125
38,11740,1.0,3.0,5.0,5
39,11780,18.0,15.0,87.0,66
40,11820,4.0,2.0,8.0,6
41,11860,1.0,6.0,22.0,17
42,11900,4.0,6.0,17.0,17
43,11940,11.0,14.0,42.0,34
44,11980,11.0,10.0,30.0,27
45,12020,39.0,57.0,478.0,370
46,12060,544.0,721.0,1915.0,1479
47,12100,42.0,66.0,293.0,220
48,12120,19.0,18.0,104.0,47
49,12140,0.0,4.0,13.0,11
50,12180,2.0,3.0,21.0,16
51,12220,36.0,28.0,76.0,75
52,12260,111.0,176.0,667.0,478
53,12300,35.0,22.0,333.0,247
54,12380,4.0,3.0,61.0,44
55,12420,114.0,137.0,866.0,403
56,12460,7.0,11.0,29.0,23
57,12540,104.0,196.0,629.0,468
58,12580,566.0,1182.0,3163.0,2384
59,12620,11.0,25.0,137.0,87
60,12660,9.0,5.0,44.0,37
61,12680,10.0,7.0,55.0,30
62,12700,2.0,12.0,154.0,103
63,12740,16.0,1.0,80.0,59
64,12780,6.0,12.0,32.0,27
65,12820,10.0,9.0,26.0,21
66,12860,4.0,14.0,65.0,47
67,12900,9.0,10.0,26.0,26
68,12940,231.0,283.0,749.0,547
69,12980,13.0,46.0,188.0,146
70,13020,14.0,13.0,62.0,57
71,13060,8.0,4.0,18.0,17
72,13100,0.0,3.0,10.0,7
73,13140,48.0,59.0,201.0,134
74,13180,4.0,2.0,53.0,15
75,13220,20.0,30.0,89.0,80
76,13260,13.0,6.0,30.0,23
77,13300,5.0,6.0,14.0,12
78,13340,2.0,3.0,6.0,6
79,13380,11.0,7.0,42.0,31
80,13420,10.0,11.0,98.0,56
81,13460,8.0,11.0,44.0,37
82,13500,13.0,40.0,63.0,57
83,13540,0.0,3.0,52.0,37
84,13620,4.0,5.0,36.0,23
85,13660,4.0,2.0,8.0,8
86,13700,6.0,6.0,51.0,14
87,13720,21.0,23.0,105.0,58
88,13740,23.0,22.0,176.0,109
