,Sampling Technique,Classifier,Score Type,Best Score,Best Params,Confusion Matrix
0,Up Sampling,K-Nearest Neighbors,accuracy,0.6992063492063492,{'n_neighbors': 1},0.png
1,Up Sampling,K-Nearest Neighbors,f1,0.7337835858783098,{'n_neighbors': 1},1.png
2,Up Sampling,K-Nearest Neighbors,precision,0.6610855094726062,{'n_neighbors': 1},2.png
3,Up Sampling,K-Nearest Neighbors,recall,0.8264550264550264,{'n_neighbors': 1},3.png
4,Up Sampling,K-Nearest Neighbors,roc_auc,0.6992063492063492,{'n_neighbors': 1},4.png
5,Up Sampling,Multinomial NB,accuracy,0.5793650793650794,{'alpha': 10.0},5.png
6,Up Sampling,Multinomial NB,f1,0.6331506402414159,{'alpha': 10.0},6.png
7,Up Sampling,Multinomial NB,precision,0.5761731458505651,{'alpha': 0},7.png
8,Up Sampling,Multinomial NB,recall,0.7248677248677249,{'alpha': 10.0},8.png
9,Up Sampling,Multinomial NB,roc_auc,0.6179379776602,{'alpha': 0},9.png
10,Up Sampling,SVM,accuracy,0.6265873015873016,"{'C': 100, 'degree': 5, 'kernel': 'poly'}",10.png
11,Up Sampling,SVM,f1,0.6643618266978923,"{'C': 100, 'degree': 5, 'kernel': 'poly'}",11.png
12,Up Sampling,SVM,precision,0.7666666666666667,"{'C': 1, 'degree': 5, 'kernel': 'poly'}",12.png
13,Up Sampling,SVM,recall,0.8182539682539682,"{'C': 1000, 'degree': 5, 'kernel': 'poly'}",13.png
14,Up Sampling,SVM,roc_auc,0.656867108983511,"{'C': 100, 'degree': 5, 'kernel': 'poly'}",14.png
15,Up Sampling,Random Forest,accuracy,0.768121693121693,"{'criterion': 'entropy', 'max_depth': 7, 'n_estimators': 100}",15.png
16,Up Sampling,Random Forest,f1,0.7804431336963097,"{'criterion': 'entropy', 'max_depth': 6, 'n_estimators': 100}",16.png
17,Up Sampling,Random Forest,precision,0.7375228566499915,"{'criterion': 'gini', 'max_depth': 7, 'n_estimators': 100}",17.png
18,Up Sampling,Random Forest,recall,0.8338624338624339,"{'criterion': 'gini', 'max_depth': 7, 'n_estimators': 200}",18.png
19,Up Sampling,Random Forest,roc_auc,0.8190766635872457,"{'criterion': 'gini', 'max_depth': 7, 'n_estimators': 200}",19.png
20,Mixed Sampling,K-Nearest Neighbors,accuracy,0.6994565217391304,{'n_neighbors': 1},20.png
21,Mixed Sampling,K-Nearest Neighbors,f1,0.721812342095361,{'n_neighbors': 1},21.png
22,Mixed Sampling,K-Nearest Neighbors,precision,0.6731691297208539,{'n_neighbors': 1},22.png
23,Mixed Sampling,K-Nearest Neighbors,recall,0.7793478260869565,{'n_neighbors': 1},23.png
24,Mixed Sampling,K-Nearest Neighbors,roc_auc,0.6994565217391304,{'n_neighbors': 1},24.png
25,Mixed Sampling,Multinomial NB,accuracy,0.5923913043478262,{'alpha': 10.0},25.png
26,Mixed Sampling,Multinomial NB,f1,0.6537036701343781,{'alpha': 10.0},26.png
27,Mixed Sampling,Multinomial NB,precision,0.5699562123700055,{'alpha': 1.0},27.png
28,Mixed Sampling,Multinomial NB,recall,0.7706521739130435,{'alpha': 10.0},28.png
29,Mixed Sampling,Multinomial NB,roc_auc,0.6107245064062171,{'alpha': 0},29.png
30,Mixed Sampling,SVM,accuracy,0.6139492753623188,"{'C': 1000, 'degree': 3, 'kernel': 'poly'}",30.png
