,,,,,,
County/County Equivalent,FIPS State Code,FIPS County Code,5-dig FIPS,CBSA Title,CBSA Code,State Name
Acadia Parish,22,001,22001,"Lafayette, LA",29180,Louisiana
Ada County,16,001,16001,"Boise City, ID",14260,Idaho
Adams County,08,001,08001,"Denver-Aurora-Lakewood, CO",19740,Colorado
Adams County,42,001,42001,"Gettysburg, PA",23900,Pennsylvania
Aguada Municipio,72,003,72003,"Aguadilla-Isabela, PR",10380,Puerto Rico
Aguadilla Municipio,72,005,72005,"Aguadilla-Isabela, PR",10380,Puerto Rico
Aguas Buenas Municipio,72,007,72007,"San Juan-Carolina-Caguas, PR",41980,Puerto Rico
Aibonito Municipio,72,009,72009,"San Juan-Carolina-Caguas, PR",41980,Puerto Rico
Aiken County,45,003,45003,"Augusta-Richmond County, GA-SC",12260,South Carolina
Alachua County,12,001,12001,"Gainesville, FL",23540,Florida
Alamance County,37,001,37001,"Burlington, NC",15500,North Carolina
Alameda County,06,001,06001,"San Francisco-Oakland-Hayward, CA",41860,California
Albany County,36,001,36001,"Albany-Schenectady-Troy, NY",10580,New York
Albemarle County,51,003,51003,"Charlottesville, VA",16820,Virginia
Alexander County,17,003,17003,"Cape Girardeau, MO-IL",16020,Illinois
Alexander County,37,003,37003,"Hickory-Lenoir-Morganton, NC",25860,North Carolina
Alexandria city,51,510,51510,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,Virginia
Allegany County,24,001,24001,"Cumberland, MD-WV",19060,Maryland
Allegheny County,42,003,42003,"Pittsburgh, PA",38300,Pennsylvania
Allen County,18,003,18003,"Fort Wayne, IN",23060,Indiana
Allen County,21,003,21003,"Bowling Green, KY",14540,Kentucky
Allen County,39,003,39003,"Lima, OH",30620,Ohio
Amelia County,51,007,51007,"Richmond, VA",40060,Virginia
Amherst County,51,009,51009,"Lynchburg, VA",31340,Virginia
Añasco Municipio,72,011,72011,"Aguadilla-Isabela, PR",10380,Puerto Rico
Anchorage Municipality,02,020,02020,"Anchorage, AK",11260,Alaska
Anderson County,47,001,47001,"Knoxville, TN",28940,Tennessee
Anderson County,45,007,45007,"Greenville-Anderson-Mauldin, SC",24860,South Carolina
Andrew County,29,003,29003,"St. Joseph, MO-KS",41140,Missouri
Androscoggin County,23,001,23001,"Lewiston-Auburn, ME",30340,Maine
Anne Arundel County,24,003,24003,"Baltimore-Columbia-Towson, MD",12580,Maryland
Anoka County,27,003,27003,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,Minnesota
Appomattox County,51,011,51011,"Lynchburg, VA",31340,Virginia
Aransas County,48,007,48007,"Corpus Christi, TX",18580,Texas
Arapahoe County,08,005,08005,"Denver-Aurora-Lakewood, CO",19740,Colorado
Archer County,48,009,48009,"Wichita Falls, TX",48660,Texas
Arecibo Municipio,72,013,72013,"Arecibo, PR",11640,Puerto Rico
Arlington County,51,013,51013,"Washington-Arlington-Alexandria, DC-VA-MD-WV",47900,Virginia
Armstrong County,42,005,42005,"Pittsburgh, PA",38300,Pennsylvania
Armstrong County,48,011,48011,"Amarillo, TX",11100,Texas
Arroyo Municipio,72,015,72015,"Guayama, PR",25020,Puerto Rico
Ascension Parish,22,005,22005,"Baton Rouge, LA",12940,Louisiana
Asotin County,53,003,53003,"Lewiston, ID-WA",30300,Washington
Atascosa County,48,013,48013,"San Antonio-New Braunfels, TX",41700,Texas
Atlantic County,34,001,34001,"Atlantic City-Hammonton, NJ",12100,New Jersey
Augusta County,51,015,51015,"Staunton-Waynesboro, VA",44420,Virginia
Austin County,48,015,48015,"Houston-The Woodlands-Sugar Land, TX",26420,Texas
Autauga County,01,001,01001,"Montgomery, AL",33860,Alabama
Baker County,12,003,12003,"Jacksonville, FL",27260,Florida
Baker County,13,007,13007,"Albany, GA",10500,Georgia
Baldwin County,01,003,01003,"Daphne-Fairhope-Foley, AL",19300,Alabama
Baltimore city,24,510,24510,"Baltimore-Columbia-Towson, MD",12580,Maryland
Baltimore County,24,005,24005,"Baltimore-Columbia-Towson, MD",12580,Maryland
Bandera County,48,019,48019,"San Antonio-New Braunfels, TX",41700,Texas
Bannock County,16,005,16005,"Pocatello, ID",38540,Idaho
Barceloneta Municipio,72,017,72017,"San Juan-Carolina-Caguas, PR",41980,Puerto Rico
Barnstable County,25,001,25001,"Barnstable Town, MA",12700,Massachusetts
